,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,pilot_exp_var,category,explained_variance,phase
Fnr-2,Fnr,2.2206082018520538e-14,1.0880980189075065e-12,0.5,0.06896551724137931,0.1212121212121212,22.0,319.0,44,1.0,0.0031121503337641077,Energy Metabolism,0.014084510478300172,Secondary
FecI,FecI,4.466445685614422e-16,6.699668528421633e-15,0.8333333333333334,1.0,0.9090909090909091,5.0,5.0,6,1.0,0.0008719421430353202,Metal Homeostasis,0.001443099353610755,"Primary,Tertiary"
FlhDC-2,FlhDC,4.4790660327259255e-64,1.6572544321085924e-62,0.9024390243902439,0.4567901234567901,0.6065573770491803,37.0,81.0,41,1.0,0.04302814729222071,Extracellular Structures,0.049867420037394194,Primary
SG_4,,,,,,,,,5,,0.001737190900724439,Carbon Metabolism,0.00260367939197248,Primary
RpoE,RpoE,4.130384270925154e-09,1.1978114385682946e-07,0.6363636363636364,0.05555555555555555,0.10218978102189781,7.0,126.0,11,1.0,0.0015911881356936997,Temperature Shock,0.005553637994493377,Primary
gcvB,gcvB,1.0584022055671323e-08,1.270082646680559e-07,0.8333333333333334,0.0625,0.11627906976744186,5.0,80.0,6,1.0,0.00525135763243556,Amino Acid Metabolism,0.005373902041298284,"Primary,Tertiary"
MalT,MalT,6.140341237863985e-26,9.824545980582376e-25,0.9,0.9,0.9,9.0,10.0,10,1.0,0.0366839593156667,Carbon Metabolism,0.01156053453266781,Primary
GcvA,GcvA,1.1415031316401523e-09,1.0273528184761371e-08,0.75,0.75,0.75,3.0,4.0,4,1.0,0.012130499662152516,Amino Acid Metabolism,0.004119331781494595,Primary
Unchar_2,,,,,,,,,14,,0.11206732112152817,Uncharacterized,0.019749052744897466,Non-responsive
Unchar_3,,,,,,,,,38,,8.270000161347824e-05,Uncharacterized,0.00422490976157619,Non-responsive
Fnr-1,Fnr,4.558429353354416e-17,2.005708915475943e-15,0.5098039215686274,0.08150470219435736,0.14054054054054055,26.0,319.0,51,1.0,0.00391323176642866,Energy Metabolism,0.009325087863182202,Secondary
GntR,GntR,2.7777814795533613e-25,4.7222285152407145e-24,0.6666666666666666,0.8333333333333334,0.7407407407407408,10.0,12.0,15,1.0,0.00022414800880110608,Carbon Metabolism,0.0011403472944531146,"Primary,Tertiary"
crp KO,,,,,,,,,19,,0.006041014469625905,Carbon Metabolism,0.008701744702445335,Tertiary
Rcs-2,RcsAB,4.858844791328048e-19,5.344729270460853e-18,0.3225806451612903,0.625,0.425531914893617,10.0,16.0,31,1.0,0.002060070448005491,Envelope Stress,0.004889966363843978,"Primary,Tertiary"
YgeV,,,,,,,,,13,,0.0007937293489955755,Carbon Metabolism,0.004279882371679089,Primary
BetI,BetI,4.767941191085786e-10,2.1932529478994614e-08,0.18181818181818182,1.0,0.3076923076923077,4.0,4.0,22,1.0,0.000977414474434779,Uncharacterized,0.0017018461123233797,Primary
Unchar_4,,,,,,,,,2,,0.00015517053881086706,Uncharacterized,0.0005924872724014651,Non-responsive
Cbl,Cbl,1.2295493673779257e-24,2.2131888612802664e-23,0.6428571428571429,1.0,0.782608695652174,9.0,9.0,14,1.0,2.183504535935299e-05,Amino Acid Metabolism,0.0019957144053638354,Non-responsive
Resistance,,,,,,,,,49,,0.0014822528635018983,Envelope Stress,0.005345021766564262,Tertiary
Unchar_5,,,,,,,,,11,,0.0002603193106820445,Uncharacterized,0.0008051204544274881,Non-responsive
RpoS,RpoS,6.698014537716249e-26,4.822570467155699e-24,0.3939393939393939,0.1580547112462006,0.22559652928416482,52.0,329.0,132,1.0,0.051618929292604365,Global Stress,0.07287602410362337,"Primary,Tertiary"
GlcC,GlcC,7.143047703744083e-19,6.428742933369675e-18,1.0,0.8571428571428571,0.923076923076923,6.0,7.0,6,1.0,0.01919151709388711,Carbon Metabolism,0.005879448415440192,"Primary,Tertiary"
AtoC,AtoC,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4,1.0,9.021221047234018e-05,Carbon Metabolism,0.0010381318804064676,Non-responsive
SrlR,SrlR,1.5632559899681243e-15,6.253023959872497e-15,1.0,0.7142857142857143,0.8333333333333333,5.0,7.0,5,1.0,0.004407692568236032,Carbon Metabolism,0.004866179445205732,Primary
TyrR,TyrR,3.5327105715187337e-13,5.2990658572781005e-12,0.8333333333333334,0.4166666666666667,0.5555555555555556,5.0,12.0,6,1.0,0.0008654652140909214,Amino Acid Metabolism,0.0014965766364739563,Primary
ilv,Ile-tRNA,1.1950912572928662e-07,9.38034643780066e-07,0.5,0.3333333333333333,0.4,3.0,9.0,6,1.0,9.769620019772773e-05,Amino Acid Metabolism,0.002451390786856078,Non-responsive
Cellulose,,,,,,,,,81,,0.00404746691800506,Extracellular Structures,0.005760420415031442,Primary
NtrC-2,NtrC,1.3622626510099667e-49,3.541882892625913e-48,0.7714285714285715,0.54,0.6352941176470589,27.0,50.0,35,1.0,0.003904529207015117,Nitrogen Metabolism,0.0025973422679848035,"Primary,Tertiary"
periplasmic,,,,,,,,,3,,0.00011934128719370829,Envelope Stress,0.0006130730000288853,Non-responsive
SG_3,,,,,,,,,3,,4.090659276978492e-05,Metal Homeostasis,0.0017350082804772349,Non-responsive
ArcA-1,ArcA,1.098645504715353e-23,6.591873028292118e-22,0.5084745762711864,0.12987012987012986,0.2068965517241379,30.0,231.0,59,1.0,0.007757639851279863,Energy Metabolism,0.012487948556839767,"Primary,Secondary"
AscG,AscG,1.0418000387701468e-06,5.209000193850733e-06,1.0,0.4,0.5714285714285715,2.0,5.0,2,1.0,0.0024986155877565475,Carbon Metabolism,0.0013260411502452607,Primary
CysB-1,CysB,1.6998736979670546e-29,4.589658984511048e-28,0.5925925925925926,0.48484848484848486,0.5333333333333333,16.0,33.0,27,1.0,0.009136192446521862,Amino Acid Metabolism,0.0068716420564277625,Secondary
Cra,Cra,6.998472362999227e-15,9.797861308198919e-14,1.0,0.10256410256410256,0.18604651162790695,8.0,78.0,8,1.0,0.008860463349199987,Carbon Metabolism,0.005928295236694803,Primary
PAL Amp,,,,,,,,,85,,3.4490411644272356e-05,Uncharacterized,0.001108978722711762,Non-responsive
BasR,BasR,1.5046135437754443e-18,3.159688441928433e-17,0.6,0.4090909090909091,0.4864864864864865,9.0,22.0,15,1.0,0.00014920564856724106,Extracellular Structures,0.001661413006971535,Non-responsive
nuoB/ndh,,,,,,,,,2,,0.0009635362815405557,Energy Metabolism,0.0010491814899773466,Primary
ArgR,ArgR,1.3011716489055728e-22,2.4722261329205886e-21,0.8125,0.20967741935483872,0.33333333333333337,13.0,62.0,16,1.0,5.3554296764568576e-05,Amino Acid Metabolism,0.0042459608680008865,Non-responsive
FucR,FucR,8.82118858150566e-15,1.764237716301132e-13,0.35294117647058826,0.8571428571428571,0.5,6.0,7.0,17,1.0,0.00136635628962678,Carbon Metabolism,0.0030016305441097346,"Primary,Tertiary"
CsqR,CsqR,1.8759071879580598e-14,2.81386078193709e-13,0.5,1.0,0.6666666666666666,5.0,5.0,10,1.0,6.470908657552066e-05,Carbon Metabolism,0.0020211761587038968,Tertiary
NagC,NagC,6.638251722091613e-23,1.5931804133019873e-21,0.8,0.27906976744186046,0.4137931034482758,12.0,43.0,15,1.0,0.00020570655193541398,Carbon Metabolism,0.001828879991205179,Non-responsive
YgbI,,,,,,,,,8,,1.4182122339168046e-05,Carbon Metabolism,0.0012787428885995267,Non-responsive
isc,ryhB,4.6072787043739087e-10,3.2250950930617365e-09,0.6666666666666666,0.09836065573770492,0.1714285714285714,6.0,61.0,9,1.0,0.0008106654543506009,Cofactor Metabolism,0.0015820345002288683,Tertiary
Unchar_6,rdlC,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0003072595799898936,Uncharacterized,0.0010871987736074118,Non-responsive
YcjW,YcjW,1.0343649612657757e-18,8.274919690126206e-18,0.7058823529411765,0.1643835616438356,0.26666666666666666,12.0,73.0,17,1.0,9.884463173193136e-05,Carbon Metabolism,0.0007536073795032516,Non-responsive
XylR,XylR,4.475433053714064e-18,7.160692885942502e-17,0.5,0.875,0.6363636363636364,7.0,8.0,14,1.0,0.0007080217001513844,Carbon Metabolism,0.0027593935971146344,"Primary,Tertiary"
CP4-44,,,,,,,,,3,,0.00022631674260831236,Prophage,0.0016588149761512794,Primary
Thiamine diphosphate,Thiamine diphosphate,2.633868092930503e-15,3.950802139395754e-14,0.5,0.75,0.6,6.0,8.0,12,1.0,0.00023458458758862655,Cofactor Metabolism,0.0026721200885982954,Non-responsive
SG_5,,,,,,,,,27,,0.010532471109309105,Uncharacterized,0.007527839055614605,Primary
NanR,NanR,4.4297556054248585e-22,4.429755605424858e-21,0.8888888888888888,0.7272727272727273,0.7999999999999999,8.0,11.0,9,1.0,0.0040708780281758505,Carbon Metabolism,0.0047115197285702015,Primary
Crp-1,RpoS,5.48119894752651e-10,1.3971900116397824e-08,0.5,0.04559270516717325,0.08356545961002784,15.0,329.0,30,1.0,0.012248701134016438,Carbon Metabolism,0.013711485059339945,"Primary,Tertiary"
AppY-1,ArcA,5.160853252943189e-07,4.644767927648871e-06,0.75,0.025974025974025976,0.0502092050209205,6.0,231.0,8,1.0,0.0002687858243889396,Energy Metabolism,0.002120691044669498,Non-responsive
MarR,MarR,1.4271233407953725e-09,2.4261096793521332e-08,0.5,1.0,0.6666666666666666,3.0,3.0,6,1.0,0.00035475503527204744,Redox Stress,0.0020463927326102027,Non-responsive
ArgP,ArgP,2.833481011052951e-10,5.383613921000607e-09,0.38461538461538464,0.3333333333333333,0.3571428571428571,5.0,15.0,13,1.0,9.713886816720141e-05,Amino Acid Metabolism,0.001420980830110774,Non-responsive
NrdR,NrdR,8.571657244463189e-18,8.571657244463188e-17,1.0,0.6666666666666666,0.8,6.0,9.0,6,1.0,0.0008109763716298568,Nucleotide Metabolism,0.004201150398409181,Primary
PhoB,PhoB,4.989857937563877e-13,4.49087214380749e-12,0.875,0.11666666666666667,0.20588235294117646,7.0,60.0,8,1.0,0.001718407032800351,Phosphate Metabolism,0.004289889150826287,Primary
thi_gal,Thiamine diphosphate,4.663109888263493e-19,1.2124085709485081e-17,0.3076923076923077,1.0,0.47058823529411764,8.0,8.0,26,1.0,0.0005082555751769746,Cofactor Metabolism,0.0050040580159697035,Primary
FliA,FliA,2.0723806632362422e-52,5.595427790737855e-51,0.9354838709677419,0.3972602739726027,0.5576923076923077,29.0,73.0,31,1.0,0.0174347838402531,Extracellular Structures,0.02984728465921216,Primary
FlhDC-1,FlhDC,1.9833050659967335e-11,2.9749575989951006e-10,0.7777777777777778,0.08641975308641975,0.15555555555555556,7.0,81.0,9,1.0,0.000601699545315415,Extracellular Structures,0.0015095039119903397,Primary
CdaR,CdaR,0.0,0.0,1.0,1.0,1.0,9.0,9.0,9,1.0,0.005925380098507516,Carbon Metabolism,0.004263181635345781,"Primary,Tertiary"
AllR,AllR,5.45198784109722e-19,6.5423854093166634e-18,0.38095238095238093,0.8888888888888888,0.5333333333333333,8.0,9.0,21,1.0,0.0012515053097884588,Carbon Metabolism,0.002221872626182786,Primary
prp/paa,PaaX,1.8383704985730432e-16,1.4706963988584345e-15,0.6363636363636364,0.5,0.56,7.0,14.0,11,1.0,0.0018004100046099536,Carbon Metabolism,0.002253234306646257,"Primary,Tertiary"
GlpR,GlpR,2.6863381283292998e-24,3.4922395668280896e-23,1.0,0.8888888888888888,0.9411764705882353,8.0,9.0,8,1.0,0.0016854947259273834,Carbon Metabolism,0.006367691094952832,Primary
PlaR,PlaR,0.0,0.0,1.0,1.0,1.0,10.0,10.0,10,1.0,0.00014124465657172625,Carbon Metabolism,0.0008569257305003353,Secondary
PuuR,PuuR,0.0,0.0,1.0,1.0,1.0,8.0,8.0,8,1.0,0.0004306920503432954,Nitrogen Metabolism,0.005588062533222415,Secondary
MetJ,MetJ,1.6870374760978543e-24,3.205371204585923e-23,0.5238095238095238,0.7333333333333333,0.611111111111111,11.0,15.0,21,1.0,0.00014046675046119894,Amino Acid Metabolism,0.0031406805366512858,Non-responsive
KdpE,KdpE,2.8532689766224756e-09,1.4266344883112377e-08,0.6,0.75,0.6666666666666665,3.0,4.0,5,1.0,0.0007187831801581668,Metal Homeostasis,0.0027091433480005422,Primary
rprA,rprA,2.2813115746853634e-12,2.851639468356704e-11,1.0,0.5714285714285714,0.7272727272727273,4.0,7.0,4,1.0,4.746152240020507e-05,Extracellular Structures,0.004612992305980446,Non-responsive
NarL-2,NarL,1.9607897879465153e-18,3.333342639509076e-17,0.9230769230769231,0.0967741935483871,0.17518248175182483,12.0,124.0,13,1.0,0.0011017594440484446,Energy Metabolism,0.001686981821895972,Secondary
Lrp,Lrp,7.40588849212156e-28,2.592060972242546e-26,0.8285714285714286,0.08841463414634146,0.15977961432506887,29.0,328.0,35,1.0,0.00025366290676887004,Amino Acid Metabolism,0.010783771918348117,Tertiary
LexA,LexA,4.571364337437248e-33,6.399910072412148e-32,0.9,0.29508196721311475,0.4444444444444445,18.0,61.0,20,1.0,0.0009251409963859647,DNA Damage,0.0009286883164301152,Tertiary
GadXW,GadX,4.972553512694085e-28,1.5912171240621072e-26,0.7368421052631579,0.4375,0.5490196078431372,14.0,32.0,19,1.0,0.009061995558210745,Envelope Stress,0.018011371276236865,"Primary,Tertiary"
Crp-3,Crp,7.512446414317846e-11,3.3054764222998523e-09,0.6060606060606061,0.0364963503649635,0.06884681583476764,20.0,548.0,33,1.0,0.008900337625839083,Carbon Metabolism,0.014468082007100369,Tertiary
TrpR,TrpR,2.6338680929230546e-15,2.918077847934758e-14,0.75,0.5,0.6,6.0,12.0,8,1.0,1.707593350486203e-05,Amino Acid Metabolism,0.002726261439908062,Non-responsive
CysB-2,CysB,2.667179132459974e-09,1.3335895662299868e-08,1.0,0.12121212121212122,0.21621621621621626,4.0,33.0,4,1.0,0.0019149723198385038,Amino Acid Metabolism,0.0016613029126986145,Secondary
EvgA,EvgA,8.162923193866457e-29,1.95910156652795e-27,0.8,0.6666666666666666,0.7272727272727272,12.0,18.0,15,1.0,0.0006503930532242297,Envelope Stress,0.001548949976949432,Primary
YmfT,,,,,,,,,18,,0.0002205181352008534,DNA Damage,0.0015191939402594556,"Primary,Tertiary"
LPS,,,,,,,,,57,,0.007770838953113701,Extracellular Structures,0.007787842767631559,Primary
MalE,YidZ+CreB,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,2.0,0.0007319803350294141,Carbon Metabolism,0.0007250425479538025,Primary
yciT,,,,,,,,,5,,0.00045115621372837644,Uncharacterized,0.000656748488616854,Non-responsive
ppGpp,ppGpp,5.040247419034555e-12,1.008049483806911e-10,0.8461538461538461,0.024149286498353458,0.04695837780149413,22.0,911.0,26,1.0,0.062265615381155714,Global Stress,0.035568511769681566,"Primary,Tertiary"
SoxS,SoxS,1.833039441824956e-27,9.165197209124781e-26,0.4318181818181818,0.3877551020408163,0.4086021505376344,19.0,49.0,44,1.0,6.557805497331426e-05,Redox Stress,0.0014748706635150377,Non-responsive
mdt,GadX,1.9581689603144405e-14,4.307971712691769e-13,0.7777777777777778,0.21875,0.34146341463414637,7.0,32.0,9,1.0,0.0014512358869517294,Envelope Stress,0.0040498914401139174,Tertiary
GatR,GatR,8.171646573065695e-16,1.634329314613139e-14,0.375,1.0,0.5454545454545454,6.0,6.0,16,1.0,0.007716207823599941,Carbon Metabolism,0.010545045244821138,"Primary,Tertiary"
Unchar_7,,,,,,,,,9,,5.8967385024977226e-05,Uncharacterized,0.0021427922111728614,Non-responsive
OxyR,OxyR,2.851943262652003e-17,4.848303546508405e-16,1.0,0.1951219512195122,0.326530612244898,8.0,41.0,8,1.0,0.0009793226284489087,Redox Stress,0.0015218406410402174,"Primary,Tertiary"
Rcs-1,,,,,,,,,21,,0.0010030595883764315,Envelope Stress,0.005274707407188051,Tertiary
PAL 26 Del,,,,,,,,,41,,4.822981876984045e-05,Uncharacterized,0.002402546085774726,Non-responsive
NikR,NikR,4.466445685606297e-16,1.7865782742425186e-15,1.0,0.8333333333333334,0.9090909090909091,5.0,6.0,5,1.0,0.0010924485607808343,Metal Homeostasis,0.0016795667596504193,Secondary
CpxR,CpxR,3.6384686969266524e-19,1.3462334178628613e-17,0.42857142857142855,0.22058823529411764,0.29126213592233013,15.0,68.0,35,1.0,6.819459319773458e-05,Envelope Stress,0.004039322374128296,Non-responsive
TdcA,TdcA,1.2928002242548022e-19,1.745280302743983e-18,0.5833333333333334,1.0,0.7368421052631579,7.0,7.0,12,1.0,0.004562493749331931,Amino Acid Metabolism,0.007973567371624468,Secondary
CusR,CusR,4.2491965762371e-17,2.337058116930405e-16,0.6363636363636364,0.5833333333333334,0.6086956521739131,7.0,12.0,11,1.0,9.665173891171275e-05,Metal Homeostasis,0.01079571187863082,Non-responsive
Unchar_8,,,,,,,,,17,,0.0074775732391042515,Uncharacterized,0.004828430533482808,Primary
Translation,DksA,3.696288287506954e-55,9.979978376268777e-54,0.9,0.3103448275862069,0.4615384615384615,36.0,116.0,40,1.0,0.041214454105477305,Translation,0.019669774118600603,"Primary,Tertiary"
RhaS,RhaS,2.8572190814915125e-18,3.428662897789815e-17,0.75,1.0,0.8571428571428571,6.0,6.0,8,1.0,6.251757705733052e-05,Carbon Metabolism,0.010155161149249303,Non-responsive
PurR-2,PurR,1.1451798300432854e-08,1.9468057110735854e-07,0.4166666666666667,0.15625,0.22727272727272727,5.0,32.0,12,1.0,0.008568610916938946,Nucleotide Metabolism,0.010378542338656316,"Primary,Tertiary"
Ile-tRNA,Ile-tRNA,4.429755605439148e-22,7.530584529246552e-21,0.7272727272727273,0.8888888888888888,0.7999999999999999,8.0,9.0,11,1.0,0.006530582713031863,Amino Acid Metabolism,0.0067339595342739145,Primary
hya,AppY,1.795819577040409e-15,3.5916391540808175e-14,0.6666666666666666,0.6,0.631578947368421,6.0,10.0,9,1.0,0.0011894316228807655,Energy Metabolism,0.00322301968739247,
PurR-1,PurR,6.114348229332901e-22,4.891478583466321e-21,0.7333333333333333,0.34375,0.4680851063829787,11.0,32.0,15,1.0,0.02609787853861789,Nucleotide Metabolism,0.00931524336123113,Primary
ryhB,ryhB,1.0577797783774635e-07,1.3751137118907024e-06,0.5,0.08196721311475409,0.14084507042253522,5.0,61.0,10,1.0,0.0016797420775886973,Metal Homeostasis,0.0022979519035853935,"Primary,Tertiary"
NarL-1,NarL,1.7873535289408627e-45,3.395971704987639e-44,1.0,0.22580645161290322,0.3684210526315789,28.0,124.0,28,1.0,0.007766248285197008,Energy Metabolism,0.009256021628914257,Secondary
Phage_shock,PspF,3.28033775705534e-14,4.592472859877477e-13,0.7142857142857143,0.7142857142857143,0.7142857142857143,5.0,7.0,7,1.0,0.0007334608270944676,Phage Shock,0.03586885708807963,Primary
Unchar_9,,,,,,,,,1,,0.0003405775633685826,Uncharacterized,0.001584815558949293,Non-responsive
Unchar_10,,,,,,,,,49,,0.0012624087804855577,Uncharacterized,0.0025574765774980524,Primary
Nucleotide Stress,,,,,,,,,3,,0.007746366165516161,DNA Damage,0.0060117025623721565,"Primary,Tertiary"
Unchar_11,,,,,,,,,0,,0.0009377984588526678,Uncharacterized,0.008618996515953992,Non-responsive
Unchar_12,SdhX,2.8498486170754527e-08,2.5648637553679074e-07,0.5,0.5,0.5,3.0,6.0,6,1.0,0.0043934148475326396,Uncharacterized,0.0023001373093386457,Primary
Unchar_13,PhoP,3.272656686001759e-07,2.945391017401583e-06,0.6666666666666666,0.07272727272727272,0.13114754098360654,4.0,55.0,6,1.0,0.00032012551172211356,Uncharacterized,0.0034992701817725402,Non-responsive
Unchar_14,,,,,,,,,1,,0.001109098268626818,Uncharacterized,0.0009765504120533564,Primary
Unchar_15,LldR,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3,1.0,0.0004764749473222807,Uncharacterized,0.0009586425089129769,Primary
Unchar_16,,,,,,,,,5,,0.00031266720727429753,Uncharacterized,0.0017580184192489412,Non-responsive
dsrA,dsrA,3.4391631779151027e-14,1.7195815889575511e-13,1.0,0.45454545454545453,0.625,5.0,11.0,5,1.0,0.0017443456201928775,Carbon Metabolism,0.0041625624807714035,"Primary,Tertiary"
nitrate_reductase,RstA,1.7063952188236646e-07,9.385173703530155e-07,0.5,0.3,0.37499999999999994,3.0,10.0,6,1.0,0.004214764585829034,Energy Metabolism,0.0026754330699566564,"Primary,Secondary"
nuo,ryhB,5.733127698493634e-16,8.599691547740451e-15,0.8181818181818182,0.14754098360655737,0.24999999999999997,9.0,61.0,11,1.0,0.0016492918535335743,Energy Metabolism,0.003734549664798026,Primary
Unchar_17,Mlc,6.204797725689812e-10,2.4198711130190265e-08,0.21739130434782608,0.5,0.30303030303030304,5.0,10.0,23,1.0,0.004032857658357369,Uncharacterized,0.00339722305998702,Primary
